FatorA	FatorB	rep	NumInseto
Cultivar1	Manejo1	1	81
Cultivar2	Manejo1	1	93
Cultivar3	Manejo1	1	77
Cultivar1	Manejo2	1	35
Cultivar2	Manejo2	1	52
Cultivar3	Manejo2	1	33
Cultivar1	Manejo1	2	73
Cultivar2	Manejo1	2	92
Cultivar3	Manejo1	2	77
Cultivar1	Manejo2	2	45
Cultivar2	Manejo2	2	56
Cultivar3	Manejo2	2	33
Cultivar1	Manejo1	3	79
Cultivar2	Manejo1	3	94
Cultivar3	Manejo1	3	67
Cultivar1	Manejo2	3	39
Cultivar2	Manejo2	3	46
Cultivar3	Manejo2	3	37
Cultivar1	Manejo1	4	84
Cultivar2	Manejo1	4	88
Cultivar3	Manejo1	4	69
Cultivar1	Manejo2	4	45
Cultivar2	Manejo2	4	47
Cultivar3	Manejo2	4	33
